latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
39.52865,46.49538,334.18,0.51,0.66,2026-08-18,902,N,VIIRS,n,2.0NRT,299.48,4.86,D
39.52941,46.4985,334.85,0.51,0.66,2026-08-18,902,N,VIIRS,n,2.0NRT,300.23,4.5,D
39.55323,46.48935,343.63,0.51,0.66,2026-08-18,902,N,VIIRS,n,2.0NRT,299.46,4.2,D
39.77178,47.16491,336.97,0.46,0.64,2026-08-18,902,N,VIIRS,n,2.0NRT,301.41,4.84,D
39.77332,47.1702,330.4,0.46,0.64,2026-08-18,902,N,VIIRS,l,2.0NRT,300.54,4.84,D
40.38948,50.18217,331.16,0.63,0.54,2026-08-18,902,N,VIIRS,l,2.0NRT,301.76,2.96,D
40.40577,49.91503,332.14,0.33,0.55,2026-08-18,902,N,VIIRS,n,2.0NRT,302.01,1.15,D
40.42551,49.82356,338.66,0.33,0.55,2026-08-18,902,N,VIIRS,n,2.0NRT,298.13,1.93,D
40.42645,49.82718,340.5,0.33,0.55,2026-08-18,902,N,VIIRS,n,2.0NRT,298.51,3.88,D
40.58214,48.73966,339.46,0.37,0.58,2026-08-18,902,N,VIIRS,n,2.0NRT,303.34,2.5,D
41.26053,46.40146,356.33,0.46,0.63,2026-08-18,902,N,VIIRS,n,2.0NRT,299.12,12.33,D
41.26206,46.40666,347.46,0.46,0.63,2026-08-18,902,N,VIIRS,n,2.0NRT,298.68,9.25,D
41.32667,46.5005,367,0.45,0.63,2026-08-18,902,N,VIIRS,h,2.0NRT,297.18,7.54,D
41.3275,46.50023,367,0.45,0.63,2026-08-18,902,N,VIIRS,h,2.0NRT,297.49,10.13,D
41.32827,46.50591,337.71,0.45,0.63,2026-08-18,902,N,VIIRS,n,2.0NRT,296.5,7.54,D
41.32907,46.50567,340.82,0.45,0.63,2026-08-18,902,N,VIIRS,n,2.0NRT,296.91,13.47,D
41.32908,46.44439,333.75,0.45,0.63,2026-08-18,902,N,VIIRS,n,2.0NRT,298.3,2.26,D
41.33383,46.50327,341.67,0.45,0.63,2026-08-18,902,N,VIIRS,n,2.0NRT,298.44,8.27,D
41.33463,46.503,337.18,0.45,0.63,2026-08-18,902,N,VIIRS,n,2.0NRT,298.57,6.99,D
39.03436,48.31824,333.44,0.39,0.59,2026-08-18,1041,N,VIIRS,n,2.0NRT,302.14,2.12,D
39.50914,46.35318,341.9,0.61,0.54,2026-08-18,1041,N,VIIRS,n,2.0NRT,302.55,8.31,D
39.50919,46.35288,341.91,0.61,0.53,2026-08-18,1041,N,VIIRS,n,2.0NRT,302.57,6.61,D
39.73674,48.57543,332.87,0.4,0.6,2026-08-18,1041,N,VIIRS,n,2.0NRT,300.43,3.53,D
39.74011,48.57651,331.96,0.4,0.6,2026-08-18,1041,N,VIIRS,n,2.0NRT,300.05,2.55,D
39.77338,47.16357,334.53,0.34,0.56,2026-08-18,1041,N,VIIRS,l,2.0NRT,305.43,1.77,D
39.77351,47.16423,336.25,0.34,0.56,2026-08-18,1041,N,VIIRS,n,2.0NRT,305.62,1.16,D
39.77361,47.16764,334.28,0.34,0.56,2026-08-18,1041,N,VIIRS,l,2.0NRT,306.97,1.77,D
39.77376,47.1683,332.8,0.34,0.56,2026-08-18,1041,N,VIIRS,l,2.0NRT,307.15,1.16,D
40.42114,46.92623,348.77,0.33,0.56,2026-08-18,1041,N,VIIRS,n,2.0NRT,299.74,3.3,D
40.54456,47.05998,334.76,0.34,0.56,2026-08-18,1041,N,VIIRS,n,2.0NRT,301.06,2.77,D
40.54479,47.0641,342.4,0.34,0.56,2026-08-18,1041,N,VIIRS,n,2.0NRT,299.59,2.77,D
41.25698,46.40598,336.36,0.32,0.54,2026-08-18,1041,N,VIIRS,n,2.0NRT,302.08,2.57,D
41.31903,46.45375,352.9,0.32,0.55,2026-08-18,1041,N,VIIRS,n,2.0NRT,303.9,5.19,D
41.32413,46.45322,343.2,0.32,0.55,2026-08-18,1041,N,VIIRS,n,2.0NRT,304.12,5.19,D
41.32435,46.45714,367,0.32,0.55,2026-08-18,1041,N,VIIRS,h,2.0NRT,303.11,5.19,D
41.32703,46.50339,340.08,0.32,0.55,2026-08-18,1041,N,VIIRS,n,2.0NRT,303.25,3.25,D
41.32725,46.50725,367,0.32,0.55,2026-08-18,1041,N,VIIRS,h,2.0NRT,303.51,9.82,D
41.43634,46.31655,342.07,0.63,0.54,2026-08-18,1041,N,VIIRS,n,2.0NRT,305.51,6.49,D
41.43679,46.32409,335.4,0.63,0.54,2026-08-18,1041,N,VIIRS,n,2.0NRT,301.66,6.49,D
41.52393,45.78587,342.81,0.6,0.53,2026-08-18,1041,N,VIIRS,n,2.0NRT,301.93,4.88,D
41.53868,46.18043,337.36,0.62,0.54,2026-08-18,1041,N,VIIRS,n,2.0NRT,302.02,5.09,D
