time,temperature_2m,relativehumidity_2m,windspeed_10m,winddirection_10m,precipitation
2026-08-18T00:00,21.8,79,3.4,72,0.0
2026-08-18T01:00,21.1,82,3.1,69,0.0
2026-08-18T02:00,20.8,83,3.2,27,0.0
2026-08-18T03:00,21.0,83,1.5,14,0.0
2026-08-18T04:00,22.8,72,2.7,247,0.0
2026-08-18T05:00,25.0,65,3.6,233,0.0
2026-08-18T06:00,27.5,56,3.1,201,0.0
2026-08-18T07:00,29.8,43,2.2,189,0.0
2026-08-18T08:00,31.9,34,1.1,162,0.0
2026-08-18T09:00,32.9,33,1.5,135,0.0
2026-08-18T10:00,34.1,30,2.1,121,0.0
2026-08-18T11:00,34.9,28,2.9,120,0.0
2026-08-18T12:00,35.3,28,4.2,110,0.0
2026-08-18T13:00,35.3,29,6.4,117,0.0
2026-08-18T14:00,34.9,30,8.6,123,0.0
2026-08-18T15:00,34.2,32,7.9,129,0.0
2026-08-18T16:00,32.1,40,4.1,135,0.0
2026-08-18T17:00,29.9,37,18.8,135,0.0
2026-08-18T18:00,28.5,39,15.9,129,0.0
2026-08-18T19:00,27.2,43,14.3,135,0.0
2026-08-18T20:00,26.0,51,12.4,126,0.0
2026-08-18T21:00,25.0,56,9.3,118,0.0
2026-08-18T22:00,24.2,60,6.6,119,0.0
2026-08-18T23:00,23.7,63,4.1,135,0.0
2026-08-19T00:00,23.3,66,2.1,31,0.0
2026-08-19T01:00,22.5,69,2.3,51,0.0
2026-08-19T02:00,22.3,70,2.3,18,0.0
2026-08-19T03:00,22.2,72,1.8,349,0.0
2026-08-19T04:00,24.4,67,4.4,9,0.0
2026-08-19T05:00,26.8,57,3.1,36,0.0
2026-08-19T06:00,28.8,52,2.8,130,0.0
2026-08-19T07:00,30.8,46,5.2,146,0.0
2026-08-19T08:00,32.6,41,6.8,155,0.0
2026-08-19T09:00,34.0,36,6.6,151,0.0
2026-08-19T10:00,35.1,33,5.6,140,0.0
2026-08-19T11:00,35.9,31,6.4,137,0.0
2026-08-19T12:00,36.3,31,6.9,137,0.0
2026-08-19T13:00,36.2,31,7.7,139,0.0
2026-08-19T14:00,35.7,32,9.3,144,0.0
2026-08-19T15:00,34.8,34,9.4,137,0.0
2026-08-19T16:00,32.8,40,11.2,135,0.0
2026-08-19T17:00,30.5,47,20.8,150,0.0
2026-08-19T18:00,29.1,49,18.4,145,0.0
2026-08-19T19:00,28.1,51,15.6,154,0.0
2026-08-19T20:00,27.2,52,10.4,136,0.0
2026-08-19T21:00,26.3,54,5.0,111,0.0
2026-08-19T22:00,25.6,57,5.5,67,0.0
2026-08-19T23:00,24.8,61,5.8,68,0.0
2026-08-20T00:00,24.3,66,6.8,72,0.0
2026-08-20T01:00,23.8,70,5.9,76,0.0
2026-08-20T02:00,23.4,73,3.0,14,0.0
2026-08-20T03:00,23.6,74,1.3,304,0.0
2026-08-20T04:00,25.4,67,1.3,304,0.0
2026-08-20T05:00,28.0,54,3.5,156,0.0
2026-08-20T06:00,30.3,43,5.1,219,0.0
2026-08-20T07:00,31.9,43,6.9,298,0.0
2026-08-20T08:00,33.4,43,7.6,315,0.0
2026-08-20T09:00,34.8,39,7.6,335,0.0
2026-08-20T10:00,36.1,34,8.0,352,0.0
2026-08-20T11:00,37.0,31,8.8,351,0.0
2026-08-20T12:00,37.3,29,8.3,355,0.0
2026-08-20T13:00,36.9,30,14.6,308,0.0
2026-08-20T14:00,35.3,34,14.2,324,0.1
2026-08-20T15:00,33.9,38,11.7,326,0.1
2026-08-20T16:00,30.7,51,22.0,162,0.1
2026-08-20T17:00,29.5,52,15.1,208,0.0
2026-08-20T18:00,28.7,51,9.7,225,0.0
2026-08-20T19:00,27.7,56,14.4,180,0.0
2026-08-20T20:00,27.0,57,10.9,171,0.1
2026-08-20T21:00,26.2,62,5.6,333,0.0
2026-08-20T22:00,25.3,66,6.2,21,0.0
