date,fire_detected,fire_count,max_frp,temp_max,temp_min,wind_max,precip_sum,humidity_mean
2025-04-27,1,16,2.29,3.1,-2.7,6.7,2.1,87
2025-04-28,1,60,53.9,11.4,-1.8,9.6,0.2,75
2025-04-29,1,83,24.57,15.0,0.5,9.4,0.4,70
2025-04-30,1,49,33.32,15.4,2.9,11.4,0.7,64
2025-05-01,1,58,341.49,16.6,3.2,10.8,2.2,68
2025-05-02,1,50,15.18,18.0,4.4,12.1,0.2,62
2025-05-03,1,8,5.3,16.5,5.8,8.5,4.7,73
2025-05-04,1,26,24.12,10.5,3.7,8.4,3.6,77
2025-05-05,1,23,9.33,15.7,5.2,14.1,1.1,68
2025-05-06,1,32,50.25,15.8,1.1,12.3,0.1,61
2025-05-07,1,58,47.16,16.6,1.7,10.7,0.0,56
2025-05-08,1,81,15.25,19.8,4.4,10.2,0.0,60
2025-05-09,1,48,36.7,22.5,6.5,11.5,0.0,53
2025-05-10,1,53,13.3,23.8,7.7,14.0,0.0,47
2025-05-11,1,19,2.2,22.5,9.3,15.7,0.0,47
2025-05-12,1,36,8.13,18.2,6.5,15.4,0.0,49
2025-05-13,1,45,23.57,10.5,1.8,13.9,3.8,74
2025-05-14,1,74,123.03,12.5,-1.3,10.1,0.6,62
2025-05-15,1,63,25.19,16.0,2.5,11.8,0.0,60
2025-05-16,1,41,35.92,17.1,4.0,10.7,0.0,59
2025-05-17,1,14,30.26,16.7,6.6,14.2,6.6,63
2025-05-18,1,55,15.66,14.2,0.8,10.3,0.4,66
2025-05-19,1,93,289.63,17.8,4.3,9.8,0.0,57
2025-05-20,1,122,167.33,19.9,4.0,10.5,0.0,54
2025-05-21,1,72,320.71,21.3,6.7,10.9,0.0,51
2025-05-22,1,127,96.21,21.2,6.9,13.4,0.0,39
2025-05-23,1,123,41.95,19.6,6.1,11.4,0.0,38
2025-05-24,1,53,22.05,17.9,5.1,10.1,0.0,47
2025-05-25,1,50,14.75,20.5,5.9,9.3,0.0,53
2025-05-26,1,30,23.18,19.4,5.7,10.6,0.0,57
2025-05-27,1,72,31.08,21.0,5.5,8.6,0.0,55
2025-05-28,1,88,44.73,22.8,8.2,11.2,0.0,46
2025-05-29,1,45,129.14,23.0,7.9,9.8,0.0,46
2025-05-30,1,69,74.06,28.0,9.5,10.0,0.0,39
2025-05-31,1,45,19.93,28.1,12.4,8.2,1.1,42
2025-06-01,1,12,7.66,26.3,11.7,12.4,0.0,44
2025-06-02,1,43,59.64,24.1,10.3,12.6,0.0,50
2025-06-03,1,63,20.41,22.2,10.8,10.1,0.0,49
2025-06-04,1,42,10.72,22.7,10.4,13.5,0.0,52
2025-06-05,1,52,37.21,22.0,9.6,11.8,0.1,50
2025-06-06,1,29,54.04,23.8,9.8,14.1,0.0,50
2025-06-07,1,27,55.99,25.1,10.5,10.3,0.3,46
2025-06-08,1,28,18.29,26.1,11.2,12.0,0.0,45
2025-06-09,1,59,56.44,27.9,11.0,13.5,0.2,40
2025-06-10,1,63,219.99,27.1,13.3,12.8,0.0,44
2025-06-11,1,86,261.67,25.8,11.3,12.3,0.0,46
2025-06-12,1,66,38.6,23.8,10.2,12.1,0.0,33
2025-06-13,1,108,286.89,23.4,9.1,12.8,0.0,29
2025-06-14,1,42,57.24,24.1,8.9,11.1,0.0,32
2025-06-15,1,36,11.4,26.2,9.7,12.2,0.0,29
2025-06-16,1,85,24.85,25.5,11.0,13.2,0.0,28
2025-06-17,1,68,213.34,24.9,9.2,12.5,0.0,27
2025-06-18,1,62,27.87,28.4,12.0,9.4,0.0,36
2025-06-19,1,92,102.75,27.4,12.4,15.9,0.0,35
2025-06-20,1,303,518.42,24.4,11.6,13.3,0.0,29
2025-06-21,1,132,42.69,19.4,7.7,14.8,0.0,33
2025-06-22,1,43,2.72,18.3,5.9,13.7,0.0,34
2025-06-23,1,63,77.59,21.0,8.0,13.6,0.0,42
2025-06-24,1,54,18.95,21.6,7.8,13.0,0.6,45
2025-06-25,1,66,22.6,24.4,9.0,11.6,0.0,45
2025-06-26,1,57,64.43,24.8,10.0,11.6,0.0,41
2025-06-27,1,39,8.29,25.9,10.3,11.7,0.0,36
2025-06-28,1,26,4.73,26.6,11.4,11.9,0.0,38
2025-06-29,1,51,14.35,26.1,12.7,13.4,0.0,40
2025-06-30,1,115,133.85,26.9,12.8,14.1,0.0,38
2025-07-01,1,71,35.54,25.8,13.2,12.6,0.0,35
2025-07-02,1,144,288.23,25.5,11.9,13.2,0.0,34
2025-07-03,1,479,427.55,26.3,12.4,15.9,0.0,39
2025-07-04,1,634,207.42,24.9,11.9,14.4,0.0,34
2025-07-05,0,0,0.0,23.3,9.2,11.0,0.0,35
2025-07-06,0,0,0.0,25.6,10.5,11.2,0.0,35
2025-07-07,0,0,0.0,26.9,11.8,13.7,0.0,23
2025-07-08,1,266,363.95,26.3,11.7,13.6,0.0,27
2025-07-09,1,494,388.18,26.3,11.2,12.1,0.0,30
2025-07-10,1,1086,133.91,27.7,11.3,10.6,0.0,29
2025-07-11,1,406,120.81,28.9,13.8,11.4,0.0,28
2025-07-12,1,386,390.71,29.4,13.6,12.2,0.0,27
2025-07-13,1,352,182.65,29.6,15.4,10.5,0.0,33
2025-07-14,1,289,52.6,30.1,15.9,11.1,0.0,33
2025-07-15,1,263,354.47,29.5,16.1,11.9,0.0,29
2025-07-16,1,442,562.09,27.1,14.2,10.6,0.0,35
2025-07-17,1,225,118.81,25.9,13.5,11.0,0.0,41
2025-07-18,1,179,84.8,26.0,13.1,11.1,0.0,40
2025-07-19,1,198,87.45,27.1,13.6,10.3,0.0,37
2025-07-20,1,165,101.32,26.6,13.8,11.6,0.0,38
2025-07-21,1,191,130.71,25.5,12.9,12.6,0.0,35
2025-07-22,1,142,126.37,22.4,12.0,11.4,0.0,47
2025-07-23,1,105,59.74,21.3,11.0,12.4,0.0,48
2025-07-24,1,90,24.62,21.9,11.6,12.3,0.0,52
2025-07-25,1,65,36.27,21.3,10.2,12.3,0.0,50
2025-07-26,1,92,227.72,21.0,11.5,11.6,0.0,54
2025-07-27,1,56,8.61,22.8,10.1,12.0,0.0,51
2025-07-28,1,53,40.82,24.5,9.9,11.3,0.0,44
2025-07-29,1,32,7.79,25.1,11.5,11.5,0.0,39
2025-07-30,1,60,29.49,24.2,12.1,12.5,0.0,37
2025-07-31,1,72,173.01,25.3,10.9,12.4,0.0,34
2025-08-01,1,123,416.76,25.9,11.5,13.3,0.0,31
2025-08-02,1,739,245.85,25.6,11.2,12.6,0.0,35
2025-08-03,1,906,355.85,25.7,11.1,12.9,0.0,35
2025-08-04,1,965,727.28,24.4,10.2,12.8,0.0,33
2025-08-05,1,808,577.62,24.6,11.1,10.5,0.0,38
2025-08-06,1,591,262.1,26.1,11.8,11.5,0.0,32
2025-08-07,1,410,538.46,27.2,12.1,12.3,0.0,31
2025-08-08,1,312,367.78,28.6,11.6,12.5,0.0,30
2025-08-09,1,245,601.32,29.2,11.9,12.3,0.0,27
2025-08-10,1,236,381.75,29.4,14.1,13.3,0.0,26
2025-08-11,1,369,399.24,29.4,14.7,11.6,0.0,29
2025-08-12,1,243,471.68,28.8,15.4,10.9,0.0,35
2025-08-13,1,257,350.88,27.9,15.7,11.8,0.0,32
2025-08-14,1,198,129.94,26.7,12.8,10.7,0.0,32
2025-08-15,1,42,38.37,24.7,14.2,11.0,0.0,37
2025-08-16,1,162,183.54,23.7,12.2,12.5,0.0,47
2025-08-17,1,89,283.01,22.4,10.9,11.4,0.0,57
2025-08-18,1,660,456.49,23.4,10.6,9.9,0.0,53
2025-08-19,1,487,333.52,25.3,11.3,10.5,0.0,40
2025-08-20,1,285,192.54,26.5,11.1,10.2,0.0,39
2025-08-21,1,225,89.32,29.2,13.6,11.1,0.0,33
2025-08-22,1,368,205.1,31.4,16.0,14.1,0.0,31
2025-08-23,1,162,309.33,31.1,16.2,11.3,0.5,40
2025-08-24,1,129,105.93,28.7,16.4,12.6,0.6,51
2025-08-25,1,121,233.39,27.2,14.6,12.3,0.0,50
2025-08-26,1,231,79.55,25.2,14.3,9.9,1.3,53
2025-08-27,1,243,1117.81,24.3,11.6,14.3,0.0,51
2025-08-28,1,420,260.17,25.5,9.5,13.9,0.0,39
2025-08-29,1,341,105.55,25.5,11.6,12.9,0.0,40
2025-08-30,1,412,152.88,27.1,11.9,12.8,0.0,41
